adm0	country	adm1	ISO
Yemen	Yemen	'Amran_Governorate	YEM
Saudi_Arabia	Saudi_Arabia	'Asir	SAU
Tonga	Tonga	'Eua	TON
Yemen	Yemen	Adan_Governate	YEM
Samoa	Samoa	A'Ana	WSM
Paraguay	Paraguay	A'Eembucu	PRY
Switzerland	Switzerland	Aargau	CHE
Nigeria	Nigeria	Abia	NGA
Italy	Italy	Abruzzo	ITA
United_Arab_Emirates	United_Arab_Emirates	Abu_Dhabi	ARE
Yemen	Yemen	Abyan_Governorate	YEM
Indonesia	Indonesia	Aceh	IDN
Bahamas	Bahamas	Acklins	BHS
Mayotte	Mayotte	Acoua	MYT
San_Marino	San_Marino	Acquaviva	SMR
Brazil	Brazil	Acre	BRA
Oman	Oman	Ad_Dakhiliyah	OMN
Yemen	Yemen	Ad_Dali'_Governorate	YEM
Nigeria	Nigeria	Adamawa	NGA
Ethiopia	Ethiopia	Addis_Ababa	ETH
Maldives	Maldives	Addu	MDV
Mauritania	Mauritania	Adrar	MRT
Russia	Russia	Adygea	RUS
Ethiopia	Ethiopia	Afar	ETH
Niger	Niger	Agadez	NER
Guam	Guam	Agana_Heights	GUM
Guam	Guam	Agat	GUM
Norway	Norway	Agder	NOR
Greece	Greece	Agion_Oros	GRC
Mexico	Mexico	Aguascalientes	MEX
Turkmenistan	Turkmenistan	Ahal_Region	TKM
Kuwait	Kuwait	Ahmadi	KWT
El_Salvador	El_Salvador	Ahuachapan	SLV
Japan	Japan	Aichi	JPN
Samoa	Samoa	Aiga_I_Le_Tai	WSM
Timor_Leste	Timor_Leste	Aileu	TLS
Marshall_Islands	Marshall_Islands	Ailinglaplap	MHL
Marshall_Islands	Marshall_Islands	Ailuk	MHL
Palau	Palau	Aimeliik	PLW
Algeria	Algeria	Ain_Defla	DZA
Algeria	Algeria	Ain_Temouchent	DZA
Timor_Leste	Timor_Leste	Ainaro	TLS
Palau	Palau	Airai	PLW
Nauru	Nauru	Aiwo	NRU
Jordan	Jordan	Ajlun	JOR
United_Arab_Emirates	United_Arab_Emirates	Ajman	ARE
Japan	Japan	Akita	JPN
Kazakhstan	Kazakhstan	Akmola_Region	KAZ
Kazakhstan	Kazakhstan	Aktobe_Region	KAZ
Nigeria	Nigeria	Akwa_Lbom	NGA
Iraq	Iraq	Al_Anbar	IRQ
Kuwait	Kuwait	Al_Asimah	KWT
Saudi_Arabia	Saudi_Arabia	Al_Bahah	SAU
Oman	Oman	Al_Batinah	OMN
Yemen	Yemen	Al_Bayda'_Governorate	YEM
Qatar	Qatar	Al_Daayen	QAT
Syrian_Arab_Republic	Syrian_Arab_Republic	Al_Hasakah	SYR
Yemen	Yemen	Al_Hudaydah_Governorate	YEM
Saudi_Arabia	Saudi_Arabia	Al_Jawf	SAU
Yemen	Yemen	Al_Jawf_Governorate	YEM
Qatar	Qatar	Al_Khor_And_Al_Thakhira	QAT
Yemen	Yemen	Al_Mahrah_Governorate	YEM
Yemen	Yemen	Al_Mahwit_Governorate	YEM
Iraq	Iraq	Al_Qadisiyah	IRQ
Saudi_Arabia	Saudi_Arabia	Al_Qassim	SAU
Qatar	Qatar	Al_Rayyan	QAT
Qatar	Qatar	Al_Shamal	QAT
Egypt	Egypt	Al_Sharqia	EGY
Qatar	Qatar	Al_Sheehaniya	QAT
Libya	Libya	Al_Wahat	LBY
Qatar	Qatar	Al_Wakra	QAT
Oman	Oman	Al_Wusta	OMN
USA	USA	Alabama	USA
Brazil	Brazil	Alagoas	BRA
Finland	Finland	Aland_Islands	FIN
Madagascar	Madagascar	Alaotra_Mangoro	MDG
USA	USA	Alaska	USA
Romania	Romania	Alba	ROU
Canada	Canada	Alberta	CAN
Iran	Iran	Alborz	IRN
Syrian_Arab_Republic	Syrian_Arab_Republic	Aleppo	SYR
Egypt	Egypt	Alexandria	EGY
Algeria	Algeria	Algiers	DZA
Djibouti	Djibouti	Ali_Sabieh	DJI
Benin	Benin	Alibori	BEN
Maldives	Maldives	Alif_Alif	MDV
Kazakhstan	Kazakhstan	Almaty	KAZ
Kazakhstan	Kazakhstan	Almaty_Region	KAZ
Guatemala	Guatemala	Alta_Verapaz	GTM
Russia	Russia	Altai_Krai	RUS
Russia	Russia	Altai_Republic	RUS
Paraguay	Paraguay	Alto_Paraguay	PRY
Paraguay	Paraguay	Alto_Parana	PRY
Lithuania	Lithuania	Alytus	LTU
Paraguay	Paraguay	Amambay	PRY
Brazil	Brazil	Amapa	BRA
Brazil	Brazil	Amazonas	BRA
Venezuela	Venezuela	Amazonas_State	VEN
USA	USA	American_Samoa	USA
Ethiopia	Ethiopia	Amhara	ETH
Jordan	Jordan	Amman	JOR
Thailand	Thailand	Amnat_Charoen_Province	THA
Madagascar	Madagascar	Amoron'I_Mania	MDG
Russia	Russia	Amur	RUS
Vietnam	Vietnam	An_Giang	VNM
Nauru	Nauru	Anabar	NRU
Madagascar	Madagascar	Analamanga	MDG
Madagascar	Madagascar	Analanjirofo	MDG
Nigeria	Nigeria	Anambra	NGA
Peru	Peru	Ancash	PER
Spain	Spain	Andalucia	ESP
India	India	Andaman_And_Nicobar_Islands	IND
India	India	Andhra_Pradesh	IND
Uzbekistan	Uzbekistan	Andijan_Region	UZB
Andorra	Andorra	Andorra_La_Vella	AND
Madagascar	Madagascar	Androy	MDG
British_Virgin_Islands	British_Virgin_Islands	Anegada	VGB
Nauru	Nauru	Anetan	NRU
Thailand	Thailand	Ang_Thong_Province	THA
Palau	Palau	Angaur	PLW
China	China	Anhui	CHN
Comoros	Comoros	Anjouan	COM
Algeria	Algeria	Annaba	DZA
Equatorial_Guinea	Equatorial_Guinea	Annobon	GNQ
Madagascar	Madagascar	Anosy	MDG
Seychelles	Seychelles	Anse_Aux_P	SYC
Seychelles	Seychelles	Anse_Boile	SYC
Seychelles	Seychelles	Anse_Etoil	SYC
Saint_Lucia	Saint_Lucia	Anse_La_Raye	LCA
Seychelles	Seychelles	Anse_Royal	SYC
Eritrea	Eritrea	Anseba_Region	ERI
Colombia	Colombia	Antioquia	COL
Chile	Chile	Antofagasta	CHL
Venezuela	Venezuela	Anzoategui	VEN
Japan	Japan	Aomori	JPN
Switzerland	Switzerland	Appenzell_Ausserrhoden	CHE
Switzerland	Switzerland	Appenzell_Innerrhoden	CHE
Venezuela	Venezuela	Apure	VEN
Peru	Peru	Apurimac	PER
Jordan	Jordan	Aqaba	JOR
Syrian_Arab_Republic	Syrian_Arab_Republic	Ar_Raqqah	SYR
Romania	Romania	Arad	ROU
Armenia	Armenia	Aragatsotn	ARM
Spain	Spain	Aragon	ESP
Venezuela	Venezuela	Aragua	VEN
Armenia	Armenia	Ararat	ARM
Colombia	Colombia	Arauca	COL
Colombia	Colombia	Archipielago_De_San_Andres,_Providencia_Y_Santa_Catalina	COL
Iran	Iran	Ardabil	IRN
Peru	Peru	Arequipa	PER
Romania	Romania	Arges	ROU
Tunisia	Tunisia	Ariana	TUN
Chile	Chile	Arica_Y_Parinacota	CHL
USA	USA	Arizona	USA
USA	USA	Arkansas	USA
Mongolia	Mongolia	Arkhangai	MNG
Russia	Russia	Arkhangelsk	RUS
Armenia	Armenia	Armavir	ARM
Marshall_Islands	Marshall_Islands	Arno	MHL
Djibouti	Djibouti	Arta	DJI
Cuba	Cuba	Artemisa	CUB
Haiti	Haiti	Artibonite_Department	HTI
Uruguay	Uruguay	Artigas	URY
Aruba	Aruba	Aruba	ABW
India	India	Arunachal_Pradesh	IND
Tanzania,_United_Republic_Of	Tanzania,_United_Republic_Of	Arusha	TZA
Syrian_Arab_Republic	Syrian_Arab_Republic	As_Suwayda	SYR
Guam	Guam	Asan	GUM
Oman	Oman	Ash_Sharqiyah	OMN
Ghana	Ghana	Ashanti	GHA
Turkmenistan	Turkmenistan	Ashgabat	TKM
Mauritania	Mauritania	Assaba	MRT
India	India	Assam	IND
Kazakhstan	Kazakhstan	Astana	KAZ
Russia	Russia	Astrakhan	RUS
Spain	Spain	Asturias	ESP
Paraguay	Paraguay	Asuncion	PRY
Egypt	Egypt	Aswan	EGY
Egypt	Egypt	Asyut	EGY
Chile	Chile	Atacama	CHL
Benin	Benin	Atakora	BEN
Colombia	Colombia	Atlantico	COL
Honduras	Honduras	Atlantida	HND
Benin	Benin	Atlantique	BEN
Madagascar	Madagascar	Atsimo_Andrefana	MDG
Madagascar	Madagascar	Atsimo_Atsinanana	MDG
Madagascar	Madagascar	Atsinanana	MDG
Lao	Lao	Attapeu	LAO
Greece	Greece	Attica	GRC
Samoa	Samoa	Atua	WSM
Kazakhstan	Kazakhstan	Atyrau_Region	KAZ
Seychelles	Seychelles	Au_Cap	SYC
New_Zealand	New_Zealand	Auckland	NZL
Marshall_Islands	Marshall_Islands	Aur	MHL
Australia	Australia	Australian_Capital_Territory	AUS
Philippines	Philippines	Autonomous_Region_In_Muslim_Mindanao	PHL
Georgia	Georgia	Autonomous_Republic_Of_Abkhazia	GEO
Georgia	Georgia	Autonomous_Republic_Of_Adjara	GEO
Crimea	Crimea	Autonomous_Republic_Of_Crimea	UKR
France	France	Auvergne_Rhone_Alpes	FRA
Greenland	Greenland	Avannaata	GRL
Portugal	Portugal	Aveiro	PRT
Somalia	Somalia	Awdal	SOM
Peru	Peru	Ayacucho	PER
Myanmar	Myanmar	Ayeyarwady	MMR
Oman	Oman	Az_Zahirah	OMN
Pakistan	Pakistan	Azad_Kashmir	PAK
Dominican_Republic	Dominican_Republic	Azua	DOM
Ecuador	Ecuador	Azuay	ECU
Vietnam	Vietnam	Ba_Ria___Vung_Tau	VNM
Maldives	Maldives	Baa	MDV
Iraq	Iraq	Babil	IRQ
Saint_Lucia	Saint_Lucia	Babonneau	LCA
Vietnam	Vietnam	Bac_Giang	VNM
Vietnam	Vietnam	Bac_Kan	VNM
Vietnam	Vietnam	Bac_Lieu	VNM
Vietnam	Vietnam	Bac_Ninh	VNM
Romania	Romania	Bacau	ROU
Hungary	Hungary	Bacs_Kiskun	HUN
Afghanistan	Afghanistan	Badakhshan	AFG
Germany	Germany	Baden_Wurttemberg	DEU
Afghanistan	Afghanistan	Badghis	AFG
Guinea_Bissau	Guinea_Bissau	Bafata	GNB
Iraq	Iraq	Baghdad	IRQ
Afghanistan	Afghanistan	Baghlan	AFG
Myanmar	Myanmar	Bago_East	MMR
Myanmar	Myanmar	Bago_West	MMR
Brazil	Brazil	Bahia	BRA
